Date,Price
Sun Dec 20 20:50:00 UTC 2020,24212.0
Sun Dec 20 21:00:00 UTC 2020,24216.5
Sun Dec 20 21:10:00 UTC 2020,24009.5
Sun Dec 20 21:20:00 UTC 2020,23786.0
Sun Dec 20 21:30:00 UTC 2020,23828.0
Sun Dec 20 21:40:00 UTC 2020,23573.0
Sun Dec 20 21:50:00 UTC 2020,23636.0
Sun Dec 20 22:00:00 UTC 2020,23384.0
Sun Dec 20 22:10:00 UTC 2020,23325.5
Sun Dec 20 22:20:00 UTC 2020,23434.5
Sun Dec 20 22:30:00 UTC 2020,23495.0
Sun Dec 20 22:40:00 UTC 2020,23558.5
Sun Dec 20 22:50:00 UTC 2020,23588.0
Sun Dec 20 23:00:00 UTC 2020,23531.0
Sun Dec 20 23:10:00 UTC 2020,23579.0
Sun Dec 20 23:20:00 UTC 2020,23550.0
Sun Dec 20 23:30:00 UTC 2020,23531.5
Sun Dec 20 23:40:00 UTC 2020,23484.5
Sun Dec 20 23:50:00 UTC 2020,23545.0
Mon Dec 21 00:00:00 UTC 2020,23480.0
Mon Dec 21 00:10:00 UTC 2020,23523.5
Mon Dec 21 00:20:00 UTC 2020,23554.5
Mon Dec 21 00:30:00 UTC 2020,23551.0
Mon Dec 21 00:40:00 UTC 2020,23638.5
Mon Dec 21 00:50:00 UTC 2020,23690.0
Mon Dec 21 01:00:00 UTC 2020,23687.0
Mon Dec 21 01:10:00 UTC 2020,23707.0
Mon Dec 21 01:20:00 UTC 2020,23624.5
Mon Dec 21 01:30:00 UTC 2020,23691.5
Mon Dec 21 01:40:00 UTC 2020,23725.5
Mon Dec 21 01:50:00 UTC 2020,23678.0
Mon Dec 21 02:00:00 UTC 2020,23699.0
Mon Dec 21 02:10:00 UTC 2020,23744.5
Mon Dec 21 02:20:00 UTC 2020,23744.5
Mon Dec 21 02:30:00 UTC 2020,23739.0
Mon Dec 21 02:40:00 UTC 2020,23695.5
Mon Dec 21 02:50:00 UTC 2020,23785.0
Mon Dec 21 03:00:00 UTC 2020,23863.5
Mon Dec 21 03:10:00 UTC 2020,23828.0
Mon Dec 21 03:20:00 UTC 2020,23816.0
Mon Dec 21 03:30:00 UTC 2020,23840.5
Mon Dec 21 03:40:00 UTC 2020,23932.5
Mon Dec 21 03:50:00 UTC 2020,23998.0
Mon Dec 21 04:00:00 UTC 2020,23969.0
Mon Dec 21 04:10:00 UTC 2020,23967.0
Mon Dec 21 04:20:00 UTC 2020,24129.0
Mon Dec 21 04:30:00 UTC 2020,23955.5
Mon Dec 21 04:40:00 UTC 2020,23933.0
Mon Dec 21 04:50:00 UTC 2020,23995.5
Mon Dec 21 05:00:00 UTC 2020,23910.0
Mon Dec 21 05:10:00 UTC 2020,23966.5
Mon Dec 21 05:20:00 UTC 2020,23895.5
Mon Dec 21 05:30:00 UTC 2020,23938.5
Mon Dec 21 05:40:00 UTC 2020,23917.0
Mon Dec 21 05:50:00 UTC 2020,23931.0
Mon Dec 21 06:00:00 UTC 2020,23916.5
